epoch,train_loss,val_loss,val_cindex
1,-0.6170059200796417,-0.5067919318874677,0.6085162429093065
2,-0.844336776917142,-0.6354513208071391,0.606811781667273
3,-1.0536780284535616,-0.7212561691800753,0.5902421278143821
4,-1.1843516186888057,-0.9572795294225216,0.6565780077340772
5,-1.473880042931191,-1.1599684764941534,0.6835933815702602
6,-1.8019651745383005,-1.2762569203972816,0.5993741326111268
7,-1.9165524076250262,-1.5426116192092498,0.6757818289610197
8,-2.237825887095659,-1.705088204673181,0.661128851880297
9,-2.415843266517596,-1.5867971693476042,0.5687376207607422
10,-2.336264606481208,-1.7113279501597087,0.6367779619224706
11,-2.370175581341399,-1.6291005998849868,0.5438578762278184
12,-2.389998014484133,-1.7169909492135047,0.5914480509856233
13,-2.3972655262489964,-1.7194616158803304,0.5771285554522548
14,-2.363421508986363,-1.7908901430666446,0.6146873357856016
15,-2.586492298913181,-1.7487886977847666,0.6280468086826468
16,-2.6439489610213087,-1.7301447297135988,0.6295592653974157
17,-2.4575429646144236,-1.7822525382041932,0.6025438915612326
18,-2.4087193793148027,-1.7109484314918517,0.6694962070684614
19,-2.3555465928257857,-1.5035635886092982,0.6525122276567363
20,-2.529795561517988,-1.8000543971856435,0.6250960022636323
21,-2.532055143575023,-1.80872037957112,0.5941361143673283
22,-2.415139719395709,-1.874453955888748,0.5776506730263956
23,-2.5571142847376658,-1.744725513458252,0.6642278723203578
24,-2.6382892468762127,-1.7255403399467468,0.6610614818707304
25,-2.3807932094747857,-1.7157660798480114,0.5744135440667233
26,-2.4359735556338964,-1.3628124346335728,0.6238732365899996
27,-2.465484292547506,-1.7511722875138125,0.6130401390516997
28,-2.3820268612046887,-1.7126654386520386,0.6171598151366937
29,-2.349439685225935,-1.8056794717907905,0.583700499885471
30,-2.684693182097342,-1.6913672094543775,0.5923440721128582
31,-2.5175370081026753,-1.6797800168395043,0.572752873330908
32,-2.4746628226082126,-1.871283237139384,0.6564500047159006
33,-2.396204038782227,-1.6127459128697714,0.6336048344718865
34,-2.5795966263552357,-1.8138788243134816,0.5925259711386879
35,-2.385959277363648,-1.8025790297736723,0.6376402980449223
36,-2.6056383473980698,-1.6937375237544379,0.6103251276661681
37,-2.6027825896004986,-1.5707300325234732,0.5998726706819192
38,-2.4414549211138175,-1.7433443076908588,0.5966725952275085
39,-2.391212610149742,-1.6144921981962397,0.6454653246560761
40,-2.42729841934559,-1.6543568489452203,0.6276627996281176
41,-2.4515074883636676,-1.6896437784036,0.6061347130711292
