epoch,train_loss,val_loss,val_cindex_global
1,0.11162135501702626,-0.01142895221710205,0.4732341032754056
2,-0.2920431603988012,-0.45274511352181435,0.4749594284879069
3,-0.4790952910979589,-0.4800249896943569,0.47849220137935605
4,-0.48887359897295635,-0.5036220028996468,0.4797963664198974
5,-0.5344374676545461,-0.5257844775915146,0.48005102140759415
6,-0.5816450158754984,-0.5463312696665525,0.48040286720420466
7,-0.6565831402937571,-0.5652949120849371,0.4807268365672508
8,-0.603810207049052,-0.5826892461627722,0.48085943798096265
9,-0.6318526436885198,-0.5986105930060148,0.48099203939467455
10,-0.7083906730016073,-0.6131724752485752,0.4810357375878296
11,-0.6903763433297475,-0.6264641210436821,0.4809686834638503
12,-0.7068634033203125,-0.6385970748960972,0.4810990246261921
13,-0.7427781889835994,-0.6496625859290361,0.4811834073440088
14,-0.6920766413211823,-0.659823807887733,0.48115251724195085
15,-0.7229296818375588,-0.669047811999917,0.48332612564285315
16,-0.681837348639965,-0.677520738914609,0.48321009940585524
17,-0.6652004639307658,-0.6853236574679613,0.4830036631140538
18,-0.6938884059588114,-0.6924947490915656,0.48297880034898283
19,-0.7294798781474431,-0.6990730976685882,0.4830443476387154
20,-0.7379545927047729,-0.7051726914942265,0.4830360600503584
21,-0.7981825565298398,-0.710858216509223,0.4830413339702219
22,-0.7399293392896652,-0.7161161759868264,0.48339694685244927
23,-0.8054541910688082,-0.7209390765056014,0.4839220785874333
24,-0.7809400434295336,-0.725490371696651,0.4838158467730391
25,-0.7650882278879484,-0.7297868570312858,0.4843417319251465
26,-0.7583022927244504,-0.7338121943175793,0.4841322819648516
27,-0.7768702432513237,-0.7375278742983937,0.4842663902128102
28,-0.7693330417076747,-0.7409724919125438,0.4853814475553875
29,-0.7638411869605383,-0.7443370940163732,0.485673019982129
30,-0.7896703938643138,-0.7474454585462809,0.486258425086982
31,-0.7987413376569747,-0.7503596935421228,0.48638198549521355
32,-0.8139451831579209,-0.7532967496663332,0.48651684716029553
33,-0.8369005729754766,-0.7560017239302397,0.487130128698713
34,-0.7641347368558248,-0.7586628906428814,0.4862863015205464
35,-0.7822541822989781,-0.7611750103533268,0.48765676726794377
36,-0.7829650153716405,-0.7635554168373346,0.48771402696931937
37,-0.821051254371802,-0.7660431815311313,0.48789334024467973
38,-0.8210653841495514,-0.7683864114806056,0.48927510724892753
39,-0.785024348894755,-0.7707253927364945,0.4890038770845168
40,-0.8363739028573036,-0.7729757819324732,0.48910709523041757
41,-0.8228672986229261,-0.7750929202884436,0.48992455280926644
42,-0.7840321302413941,-0.7772457553073764,0.48549144645539843
43,-0.8012626002232234,-0.779322225600481,0.48095436853850637
44,-0.8083740949630738,-0.7812858335673809,0.4804608803227036
45,-0.7613685727119446,-0.7833021804690361,0.4823783269016625
46,-0.7461886733770371,-0.7851598905399442,0.48238134057015597
47,-0.8458178361256917,-0.7871751738712192,0.4821643564386274
48,-0.7976194570461909,-0.7891418477520347,0.48207093271533036
49,-0.8307155817747116,-0.7909839283674955,0.4832477702620234
50,-0.7986257712046305,-0.7928810594603419,0.483491877409993
51,-0.8162670786182086,-0.7947080405429006,0.482840171598284
52,-0.8492249727249146,-0.7965941727161407,0.4900774964853091
53,-0.8525027165810267,-0.7983335740864277,0.4898251017489825
54,-0.8116984208424886,-0.8001900939270854,0.4891884642797408
55,-0.8007401548326015,-0.8019714988768101,0.4919007659238476
56,-0.8540001670519511,-0.8035770310088992,0.49094241934292987
57,-0.790194171667099,-0.8052713209763169,0.49157453630943143
58,-0.8289188712835311,-0.8070089761167765,0.4925328828903492
59,-0.837602649629116,-0.8087150724604726,0.4906048884716632
60,-0.8385038405656815,-0.8106270637363195,0.49148487967175125
61,-0.8537547280391057,-0.8124328115954995,0.4925841152547379
62,-0.8359647264083226,-0.8141507618129253,0.4917523427505451
63,-0.866149432460467,-0.8161351578310132,0.4935876668630574
64,-0.8194546590248744,-0.8177492571994662,0.4927822639581823
65,-0.8163564587632816,-0.8194289924576879,0.4927958254664029
66,-0.8808014094829559,-0.8211627127602696,0.49529792373309145
67,-0.8227924704551697,-0.8225155593827367,0.4942514273487402
68,-0.7981285450359186,-0.8243082137778401,0.4971686584504018
69,-0.8465138932069143,-0.8261264665052295,0.4965478427407507
70,-0.8558068901300431,-0.82792694773525,0.49796276009842644
71,-0.8297484745581944,-0.8296034913510084,0.49879377918549583
72,-0.8573175340890884,-0.8313372861593962,0.4979815955265105
73,-0.7998125781615575,-0.8330393927171826,0.49670153983391674
74,-0.8741314580043157,-0.8346956511959434,0.4946190949049414
75,-0.8422725727160771,-0.8367431433871388,0.4976824889285354
76,-0.8660979866981506,-0.8384733749553561,0.498435152634775
77,-0.8570586095253626,-0.8401505332440138,0.49820008649228575
78,-0.846231625477473,-0.8417760878801346,0.4974474227860461
79,-0.831836019953092,-0.843577622435987,0.4973818754963135
80,-0.8694661021232605,-0.845174609683454,0.49837111217928914
81,-0.8544429063796997,-0.8470309134572744,0.4953988816276221
82,-0.8412478407224019,-0.848658082075417,0.49825734619366135
83,-0.8889514495929082,-0.850159184075892,0.498028307388159
84,-0.9047973493734995,-0.8520331485196948,0.4969524277359966
85,-0.9035879751046498,-0.8540335847064853,0.4967490051126886
86,-0.9023385753234228,-0.8556069983169436,0.498501453341631
87,-0.8581072409947713,-0.8573039807379246,0.49478409325495787
88,-0.8645769457022349,-0.8592716045677662,0.498850285469748
89,-0.9050295015176137,-0.8609594451263547,0.4984562483142292
90,-0.8985358705123265,-0.8627891642972827,0.4944525897206781
91,-0.904680339495341,-0.8645607829093933,0.4928078801403767
92,-0.8669603824615478,-0.8665008023381233,0.49270014149173574
93,-0.9047544593612353,-0.8685308862477541,0.4920439151772866
94,-0.9077797909577687,-0.8703496055677533,0.489819827829119
95,-0.8556145399808883,-0.8721446562558413,0.48815176231799323
96,-0.8101178874572118,-0.8740551779046655,0.48684759727745186
97,-0.8595981488625208,-0.875966670922935,0.48467097520805613
98,-0.8539189120133718,-0.8777312254533172,0.4830729774894032
99,-0.9470313688119253,-0.8797621605917811,0.482070179298207
100,-0.9054777552684148,-0.8817723263055086,0.4813679945392327
