epoch,train_loss,val_loss,c_index
1,0.9764497147387817,1.0136481801668802,0.5690748270631258
2,0.9937449678027329,1.0015992442766826,0.5918461601404895
3,0.9675796657659802,1.00101904074351,0.5962978290836076
4,0.9467945487058463,1.0131163934866587,0.5967935080221309
5,0.8931891076705035,1.0319058318932852,0.5904708477840791
6,0.9158665812065622,1.0537895858287811,0.5872434271399168
7,0.9046189341725421,1.0660937488079072,0.5837028632933223
8,0.9003757642848151,1.0842952489852906,0.5810025932663196
9,0.8858371559812241,1.114301904042562,0.5787602361634765
10,0.8461737585167924,1.156028687953949,0.5754572834905868
11,0.8779912801349864,1.1435870945453643,0.5728781794263342
12,0.865050045382075,1.168836122751236,0.5722188477589017
13,0.8334491206567829,1.2029088973999023,0.5723730589842201
14,0.8676068850425112,1.2041095693906148,0.5671959678485331
15,0.8544617217941946,1.2358089625835418,0.5667805416905327
16,0.8207565716334752,1.2509921570618947,0.5637844378843478
17,0.7986450894039219,1.2667548437913259,0.5633532758870292
18,0.8032130460027888,1.2798765818277995,0.5646813807254851
19,0.8328233799513649,1.2849145452181499,0.5616852769193004
20,0.8353625515929791,1.2958484709262847,0.5610385339233224
21,0.8331831820121333,1.3078234533468882,0.5608465566836404
22,0.8094499731013755,1.3317172388235727,0.561208480987959
23,0.7821846499162561,1.3271302282810211,0.5619543597716415
