fold,best_epoch,best_val_loss,train_loss,train_cindex,val_loss,val_cindex,test_loss,test_cindex,test_risk_mean,test_risk_std,test_risk_OS_corr
1,42,0.1722867747147878,0.28679500038462474,0.7813121536743953,0.1722867747147878,0.7387245473237382,0.39547256989912555,0.7467855192130735,48.24901,1.9813955,-0.18178183
2,30,0.07471291621526083,0.27714322809886216,0.7675823621657216,0.11903455257415771,0.766060014086566,0.39952174793271455,0.7434588701684837,47.656246,7.9488516,-0.058163907
3,48,0.1691728393236796,0.16180681110767836,0.7722367301440282,0.44217992226282754,0.757328897157334,0.3711563619700345,0.7442104379929518,47.767437,3.8928268,-0.162667
4,25,0.43279958963394166,0.28713379072067435,0.7665981069167344,0.43279958963394166,0.756310429605832,0.24858595385695947,0.7561696737345373,46.45341,8.330742,-0.07856384
5,31,0.42579938570658366,0.27854407461065994,0.7652425693242698,0.42579938570658366,0.7211375004586202,0.5009236064824191,0.737666979451116,46.12366,13.69748,-0.032662146
6,41,0.2882686062405507,0.2953734982730751,0.7755127329846078,0.4286593998471896,0.7758532411711603,0.765151302019755,0.7413946507751047,44.37793,16.700867,-0.08482018
7,27,-0.14271935522556306,0.24650317408172379,0.7633889358639224,-0.10278443296750386,0.7675269168026101,0.5988726363037572,0.7621435302536296,45.537773,14.976425,-0.114140905
8,42,0.5194190184275309,0.3256121085102397,0.7812117437464472,0.6153426210085551,0.7558498735162483,0.41458017040382733,0.7492335613569734,46.94463,7.2741446,-0.14046298
9,47,0.5124296077216665,0.28874196392252927,0.778479771652998,0.5124296077216665,0.7486886863493547,0.34490512267631646,0.7482358617639372,44.880955,11.141382,-0.1322608
10,32,0.36363503833611804,0.27534952782150496,0.7773768690720568,0.38737481037775673,0.7470821842994209,0.5862955333608569,0.7481991796665524,48.203545,7.9199705,-0.1884616
