epoch,train_loss,val_loss,val_cindex_global
1,1.873572337627411,0.6581804007291794,0.7385781413873848
2,1.8084644397099814,0.6405875906348228,0.7562491880570721
3,1.7830925067265828,0.6265999600291252,0.7581455698809573
4,1.7563777645428975,0.6179900392889977,0.7701765837243861
5,1.7514280001322429,0.6079657077789307,0.7680520657412365
6,1.7325084686279297,0.5981012657284737,0.7732025563924069
7,1.712067174911499,0.5924718528985977,0.7685099223386491
8,1.6944494446118672,0.5862008407711983,0.7675847034705213
9,1.6898183544476828,0.5782123804092407,0.7684972481075789
10,0.5587452054023743,0.5693113133311272,0.7480790618534162
11,0.5425720473130544,0.5648104771971703,0.7462238712805093
12,0.5324177841345469,0.5582997873425484,0.7513569348639579
13,0.5267597218354543,0.5543028265237808,0.7477637903555439
14,0.5169806003570556,0.5469698309898376,0.7494019347213728
15,0.5118160098791122,0.5412921383976936,0.7499120725219501
16,0.5062459876139959,0.542637974023819,0.7458769142049614
17,0.5004635552565256,0.5323180891573429,0.7469795723080725
18,0.49163202246030174,0.5314174331724644,0.7477210148256818
19,0.4827132751544317,0.5269925966858864,0.7465850868660112
20,0.47964650789896646,0.5230153687298298,0.7428065817281948
21,0.4705472975969315,0.523691188544035,0.7427748961505192
22,0.4630645255247752,0.5234336480498314,0.7400451836337654
23,0.4603763649861018,0.5166712924838066,0.7385892313395712
24,0.4537878930568695,0.5080512575805187,0.7422568369555229
25,0.44747721950213115,0.5073261298239231,0.7373487409735711
26,0.43812956909338635,0.5061482600867748,0.7286827354792919
27,0.4381510188182195,0.4991263262927532,0.738034733730248
28,0.4305578658978144,0.5017280429601669,0.7385638828774307
29,0.42311930656433105,0.4951809346675873,0.7410765491871065
30,0.4189113219579061,0.49121343716979027,0.7317498993982908
31,0.4116830031077067,0.49085479602217674,0.734188104600429
32,0.406483988960584,0.4849366992712021,0.7298883717098489
33,0.3984874447186788,0.4926064722239971,0.7332391215490445
34,0.39566880265871684,0.4821377135813236,0.7309038944743521
35,0.3894205818573634,0.476093877106905,0.7319400128643445
36,0.3832654704650243,0.5028543956577778,0.7325547130712513
37,0.37951893409093224,0.48175767436623573,0.7254159524209366
38,0.3748706549406052,0.4879377484321594,0.731301548474181
39,0.36979312002658843,0.4920945577323437,0.7238649433937154
40,0.36467098792394004,0.4864819645881653,0.7276878083402778
41,0.35773413876692456,0.4908963367342949,0.7277701908422344
42,0.3526276290416718,0.4925534278154373,0.7231440965015954
43,0.3492924779653549,0.4986483156681061,0.7258912360860708
44,0.3483341455459595,0.48716096207499504,0.7211225566458915
45,0.34309181571006775,0.48256029188632965,0.7176022889661313
46,0.33894416292508445,0.4920781999826431,0.7222980915776566
47,0.33445211152235665,0.4945175051689148,0.7283025085471846
48,0.330848682920138,0.4916461296379566,0.7234783793460731
49,0.32684555153052014,0.48597459495067596,0.7291960418376368
50,0.32435229619344075,0.48425958305597305,0.7140566728242306
51,0.31981859902540843,0.49213485419750214,0.7230236913064281
52,0.31087580720583596,0.4941086396574974,0.7171808707830457
53,0.30593210458755493,0.5043298527598381,0.728457767877795
54,0.3043977638085683,0.4959639608860016,0.7237984036805967
