phase,epoch,train_loss,val_loss,val_cindex_global,normalized_avg_cindex,val_cindex_by_type
0,1,0.43484442234039306,0.448992058634758,0.47183098591549294,0.47183098591549294,{30: 0.47183098591549294}
0,2,0.4267740368843079,0.44279471039772034,0.4749608763693271,0.4749608763693271,{30: 0.4749608763693271}
0,3,0.4221003234386444,0.436863049864769,0.4702660406885759,0.4702660406885759,{30: 0.4702660406885759}
0,4,0.4148322582244873,0.4309472292661667,0.4671361502347418,0.4671361502347418,{30: 0.4671361502347418}
0,5,0.40952717065811156,0.42515358328819275,0.460093896713615,0.460093896713615,{30: 0.460093896713615}
0,6,0.40204004645347596,0.4195684492588043,0.46557120500782473,0.46557120500782473,{30: 0.46557120500782473}
0,7,0.39584935307502744,0.41348695755004883,0.47104851330203446,0.47104851330203446,{30: 0.47104851330203446}
0,8,0.3919175922870636,0.4074622690677643,0.4757433489827856,0.4757433489827856,{30: 0.4757433489827856}
0,9,0.3856596827507019,0.4018695205450058,0.4780907668231612,0.4780907668231612,{30: 0.4780907668231612}
0,10,0.3805733025074005,0.3966158628463745,0.4780907668231612,0.4780907668231612,{30: 0.4780907668231612}
0,11,0.37558481097221375,0.39175164699554443,0.47417840375586856,0.47417840375586856,{30: 0.47417840375586856}
0,12,0.36910246014595033,0.38677000999450684,0.4726134585289515,0.4726134585289515,{30: 0.4726134585289515}
0,13,0.3639666199684143,0.38168877363204956,0.47417840375586856,0.47417840375586856,{30: 0.47417840375586856}
0,14,0.360106897354126,0.37675268948078156,0.4788732394366197,0.4788732394366197,{30: 0.4788732394366197}
0,15,0.3545093357563019,0.37201161682605743,0.47965571205007823,0.47965571205007823,{30: 0.47965571205007823}
0,16,0.34912988543510437,0.36735931038856506,0.48043818466353677,0.48043818466353677,{30: 0.48043818466353677}
0,17,0.3444566309452057,0.36278770864009857,0.47965571205007823,0.47965571205007823,{30: 0.47965571205007823}
0,18,0.3394257605075836,0.35808055102825165,0.48043818466353677,0.48043818466353677,{30: 0.48043818466353677}
0,19,0.33543620109558103,0.3535107970237732,0.4788732394366197,0.4788732394366197,{30: 0.4788732394366197}
0,20,0.3301633894443512,0.3493954539299011,0.4812206572769953,0.4812206572769953,{30: 0.4812206572769953}
0,21,0.32647401094436646,0.3450927734375,0.48200312989045385,0.48200312989045385,{30: 0.48200312989045385}
0,22,0.3212772965431213,0.34107957780361176,0.4843505477308294,0.4843505477308294,{30: 0.4843505477308294}
0,23,0.31678595542907717,0.33707621693611145,0.48278560250391234,0.48278560250391234,{30: 0.48278560250391234}
0,24,0.314342325925827,0.3327474296092987,0.4765258215962441,0.4765258215962441,{30: 0.4765258215962441}
0,25,0.31052789092063904,0.3289545625448227,0.48043818466353677,0.48043818466353677,{30: 0.48043818466353677}
0,26,0.3050820708274841,0.3250662386417389,0.47339593114241,0.47339593114241,{30: 0.47339593114241}
