epoch,train_loss,val_loss,val_cindex
1,0.7930577542996944,0.04449457426865896,0.7399282023318013
2,0.7651855485107666,0.06610923695067565,0.7379092986419464
3,0.7566754515527895,-0.01254111093779405,0.7445178001090598
4,0.7489400676878771,0.10324420494337877,0.736851159409
5,0.08119065376152669,-0.20716297725836436,0.7290417023707512
6,-0.002465973839275819,-0.3986694524685542,0.726847524084028
7,-0.04246366550599722,-0.5520210107167561,0.719583365791592
8,-0.12778267017880776,-0.4184739410877228,0.7160129573368648
9,-0.22793535966622203,-0.5441539843877157,0.7185641764690608
10,-0.25980607444014314,-0.655254598458608,0.7317876710550233
11,-0.32144348883539214,-0.9256071050961813,0.7179929111163045
12,-0.5207713362865878,-0.8652492046356202,0.7272272857105762
13,-0.5221465538935106,-1.2856828113396963,0.7224137259484303
14,-0.7549560029703871,-1.1188231468200684,0.7197196904780452
15,-1.0466450735142356,-1.0383347709973654,0.7132345303939134
16,-1.1664676922828632,-1.4803287426630656,0.7086806367012023
17,-1.1104589594261987,-1.2558835387229919,0.7176618368777752
18,-1.184564241453221,-1.1086306691169738,0.7132734803043287
19,-1.0802723444942246,-1.2737553517023723,0.7066649788372154
20,-1.158352011016437,-1.2260412375132244,0.7127281815585157
21,-1.0402529151143884,-0.9699867149194081,0.7132020721352341
22,-1.2154687802146251,-1.334537108739217,0.7182136272753239
23,-1.030495334763248,-1.5012857556343078,0.7079925216172003
24,-1.1685446239727781,-1.1123388727506003,0.7056847394250993
25,-1.0694757621539266,-0.8895794351895651,0.7051329490275505
26,-1.0453872969724183,-1.4006659746170045,0.7077296097218977
27,-1.1599128726953851,-1.1281395355860393,0.7070025447274805
28,-1.239945773959608,-1.3450878461201985,0.7185414556879852
29,-1.1053553025301237,-0.8123376409212748,0.7143024071044637
30,-1.1738215189679224,-1.0639438509941102,0.7145588273480304
31,-1.0630147146075068,-1.3413936177889505,0.7162206901924125
32,-1.2540532525320698,-1.662996029853821,0.7140979200747838
33,-1.1435831164507042,-1.2639381726582846,0.7180708109371349
34,-1.2673077542979019,-1.0219602848092715,0.722180026485939
35,-1.1884656951839763,-1.0790673693021138,0.712033574822778
36,-1.0764268647907371,-1.1303171396255494,0.7181292358027577
37,-1.1286019885674454,-0.6698026585082213,0.7174865622809068
38,-1.0981900675040215,-1.3211164553960164,0.7173177793357742
39,-1.1941234959933655,-1.0905677835146586,0.7158701409986757
40,-1.1525103429654486,-1.1350707054138183,0.7109137648983407
41,-1.1214243709144736,-1.3612813035647073,0.7141433616369349
42,-1.1607840048863476,-1.0050719777743022,0.7125593986133832
43,-1.1186515090608955,-1.3082388679186503,0.7157792578743736
44,-1.1298747333817016,-1.139982855319977,0.7145912856067098
45,-1.298669871306957,-1.20435578028361,0.6880014800965958
46,-1.1837234676332402,-1.4179431796073914,0.6912018644023785
47,-1.213159455280555,-1.3889044721921284,0.7107579652566799
48,-1.1610034344563807,-1.2728524049123129,0.7063988211160448
49,-1.1047533748293281,-1.3526274840037027,0.7162141985406767
50,-1.1869892865643465,-1.273476529121399,0.6974533250240191
51,-1.2890704126286328,-1.2343620538711548,0.7244196463348135
