epoch,train_loss,val_loss,val_cindex_global,normalized_avg_cindex,val_cindex_by_type
1,0.8975030986939446,0.7191691855589549,0.714927642953192,0.5961884900691836,"{0: 0.6823529411764706, 1: 0.47388059701492535, 2: 0.6425206124852768, 3: 0.5369318181818182, 4: 0.6, 6: 0.5353403141361257, 7: 0.75, 8: 0.6302083333333334, 10: 0.45467080317132025, 11: 0.5935541629364369, 12: 0.6428571428571429, 13: 0.43962848297213625, 14: 0.6243093922651933, 15: 0.5467625899280576, 17: 0.6980337078651685, 18: 0.5914718019257221, 19: 0.45688073394495415, 20: 0.48165289256198346, 21: 0.68, 23: 0.4826446280991736, 24: 0.33548387096774196, 25: nan, 26: 1.0, 27: 0.7543859649122807, 28: 0.5690072639225182, 29: 0.6041297935103245, 30: 0.467778620166793, 31: 0.9142857142857143, 32: 0.8157894736842105, 33: 0.4666666666666667, 34: 0.5280487804878049, 35: 0.6428571428571429, 36: 0.4358974358974359}"
2,0.8530697170960702,0.7005515436331431,0.7341182685534994,0.592269372136904,"{0: 0.6941176470588235, 1: 0.45298507462686566, 2: 0.6619552414605419, 3: 0.5056818181818182, 4: 0.5333333333333333, 6: 0.5379581151832461, 7: 0.6666666666666666, 8: 0.65625, 10: 0.46294381247845573, 11: 0.5989256938227395, 12: 0.8571428571428571, 13: 0.5603715170278638, 14: 0.7016574585635359, 15: 0.5539568345323741, 17: 0.7415730337078652, 18: 0.5969738651994498, 19: 0.5009174311926605, 20: 0.5041322314049587, 21: 0.52, 23: 0.49366391184573005, 24: 0.3903225806451613, 25: nan, 26: 0.0, 27: 0.7894736842105263, 28: 0.5108958837772397, 29: 0.6365781710914454, 30: 0.48142532221379836, 31: 0.9142857142857143, 32: 0.8947368421052632, 33: 0.4666666666666667, 34: 0.6036585365853658, 35: 0.6428571428571429, 36: 0.8205128205128205}"
3,0.8316062981799498,0.6777759601672491,0.7353156816289941,0.5835721203634754,"{0: 0.7529411764705882, 1: 0.4716417910447761, 2: 0.6224970553592462, 3: 0.4971590909090909, 4: 0.4666666666666667, 6: 0.5366492146596858, 7: 0.6666666666666666, 8: 0.6614583333333334, 10: 0.48190279214064113, 11: 0.6092211280214861, 12: 0.8571428571428571, 13: 0.586687306501548, 14: 0.6906077348066298, 15: 0.5863309352517986, 17: 0.7401685393258427, 18: 0.6134800550206327, 19: 0.4984709480122324, 20: 0.5196694214876033, 21: 0.5333333333333333, 23: 0.4975206611570248, 24: 0.34838709677419355, 25: nan, 26: 0.0, 27: 0.7543859649122807, 28: 0.5472154963680388, 29: 0.6017699115044248, 30: 0.45261561789234267, 31: 0.9142857142857143, 32: 0.8421052631578947, 33: 0.43333333333333335, 34: 0.5951219512195122, 35: 0.5, 36: 0.7948717948717948}"
4,0.81634416974197,0.6558300375938415,0.7332778382531856,0.5602071491796736,"{0: 0.7176470588235294, 1: 0.4761194029850746, 2: 0.6160188457008245, 3: 0.38636363636363635, 4: 0.5333333333333333, 6: 0.5549738219895288, 7: 0.75, 8: 0.5729166666666666, 10: 0.48500517063081694, 11: 0.6047448522829006, 12: 0.8571428571428571, 13: 0.6145510835913313, 14: 0.585635359116022, 15: 0.5719424460431655, 17: 0.6980337078651685, 18: 0.6066024759284732, 19: 0.4837920489296636, 20: 0.5603305785123966, 21: 0.5066666666666667, 23: 0.5377410468319559, 24: 0.3774193548387097, 25: nan, 26: 0.0, 27: 0.6842105263157895, 28: 0.5084745762711864, 29: 0.5887905604719764, 30: 0.46929492039423804, 31: 0.6857142857142857, 32: 0.7894736842105263, 33: 0.23333333333333334, 34: 0.6780487804878049, 35: 0.5, 36: 0.6923076923076923}"
5,0.7887114794072458,0.6440048952897389,0.7252833450726772,0.556911299516752,"{0: 0.7294117647058823, 1: 0.505223880597015, 2: 0.5736160188457008, 3: 0.35795454545454547, 4: 0.6, 6: 0.5418848167539267, 7: 0.75, 8: 0.46875, 10: 0.47638745260255083, 11: 0.6025067144136079, 12: 0.8571428571428571, 13: 0.6547987616099071, 14: 0.580110497237569, 15: 0.46402877697841727, 17: 0.6882022471910112, 18: 0.6148555708390646, 19: 0.4923547400611621, 20: 0.5190082644628099, 21: 0.52, 23: 0.5239669421487604, 24: 0.4806451612903226, 25: nan, 26: 0.0, 27: 0.5964912280701754, 28: 0.5447941888619855, 29: 0.5297935103244837, 30: 0.4495830174374526, 31: 0.6285714285714286, 32: 0.8947368421052632, 33: 0.23333333333333334, 34: 0.675609756097561, 35: 0.5238095238095238, 36: 0.7435897435897436}"
6,0.7928547657142251,0.6315399765968323,0.7372286610744702,0.5642797211001094,"{0: 0.7294117647058823, 1: 0.46492537313432836, 2: 0.5836277974087162, 3: 0.36363636363636365, 4: 0.4666666666666667, 6: 0.5484293193717278, 7: 0.75, 8: 0.5833333333333334, 10: 0.494657014822475, 11: 0.5908683974932856, 12: 0.9285714285714286, 13: 0.5975232198142415, 14: 0.585635359116022, 15: 0.5467625899280576, 17: 0.7092696629213483, 18: 0.6354883081155434, 19: 0.490519877675841, 20: 0.5662809917355371, 21: 0.48, 23: 0.528374655647383, 24: 0.42258064516129035, 25: nan, 26: 0.0, 27: 0.6666666666666666, 28: 0.5302663438256658, 29: 0.5616519174041298, 30: 0.48142532221379836, 31: 0.7142857142857143, 32: 0.8157894736842105, 33: 0.23333333333333334, 34: 0.6719512195121952, 35: 0.5714285714285714, 36: 0.7435897435897436}"
7,0.7706590320094157,0.6279929866393407,0.7338557341358776,0.5669736361034028,"{0: 0.7058823529411765, 1: 0.44776119402985076, 2: 0.5577149587750294, 3: 0.4034090909090909, 4: 0.5333333333333333, 6: 0.5235602094240838, 7: 0.6666666666666666, 8: 0.5885416666666666, 10: 0.4870734229576008, 11: 0.5984780662488809, 12: 0.8571428571428571, 13: 0.5557275541795665, 14: 0.5966850828729282, 15: 0.5467625899280576, 17: 0.7064606741573034, 18: 0.640990371389271, 19: 0.5412844036697247, 20: 0.5775206611570248, 21: 0.49333333333333335, 23: 0.5074380165289256, 24: 0.5193548387096775, 25: nan, 26: 0.0, 27: 0.6666666666666666, 28: 0.5326876513317191, 29: 0.5616519174041298, 30: 0.4791508718726308, 31: 0.7142857142857143, 32: 0.9736842105263158, 33: 0.23333333333333334, 34: 0.6353658536585366, 35: 0.5476190476190477, 36: 0.7435897435897436}"
8,0.7667953379578509,0.616101003686587,0.7321108407504643,0.5569319619928881,"{0: 0.7176470588235294, 1: 0.5343283582089552, 2: 0.5341578327444052, 3: 0.39488636363636365, 4: 0.6666666666666666, 6: 0.5366492146596858, 7: 0.75, 8: 0.4791666666666667, 10: 0.4788004136504654, 11: 0.5940017905102954, 12: 0.8571428571428571, 13: 0.6207430340557275, 14: 0.585635359116022, 15: 0.3669064748201439, 17: 0.6713483146067416, 18: 0.6327372764786795, 19: 0.5480122324159021, 20: 0.5497520661157025, 21: 0.4666666666666667, 23: 0.5294765840220386, 24: 0.5225806451612903, 25: nan, 26: 0.0, 27: 0.47368421052631576, 28: 0.5907990314769975, 29: 0.4755162241887906, 30: 0.46019711902956784, 31: 0.5714285714285714, 32: 0.9736842105263158, 33: 0.23333333333333334, 34: 0.6890243902439024, 35: 0.5476190476190477, 36: 0.7692307692307693}"
9,0.7538149594250372,0.6011725038290023,0.7395178331305629,0.5670546074538992,"{0: 0.7294117647058823, 1: 0.5149253731343284, 2: 0.5901060070671378, 3: 0.3693181818181818, 4: 0.6666666666666666, 6: 0.5654450261780105, 7: 0.75, 8: 0.5208333333333334, 10: 0.47500861771802827, 11: 0.5984780662488809, 12: 0.8571428571428571, 13: 0.5975232198142415, 14: 0.585635359116022, 15: 0.39928057553956836, 17: 0.6966292134831461, 18: 0.6368638239339752, 19: 0.5278287461773701, 20: 0.5639669421487603, 21: 0.48, 23: 0.5366391184573003, 24: 0.5161290322580645, 25: nan, 26: 0.0, 27: 0.5614035087719298, 28: 0.5399515738498789, 29: 0.5132743362831859, 30: 0.47384382107657314, 31: 0.6571428571428571, 32: 0.9736842105263158, 33: 0.2, 34: 0.6841463414634147, 35: 0.5952380952380952, 36: 0.7692307692307693}"
10,0.07434644648695693,0.6242518991231918,0.6636525901261446,0.535122131427545,"{0: 0.6941176470588235, 1: 0.5432835820895522, 2: 0.5388692579505301, 3: 0.38920454545454547, 4: 0.8, 6: 0.4607329842931937, 7: 0.75, 8: 0.4739583333333333, 10: 0.524646673560841, 11: 0.5474485228290062, 12: 0.7142857142857143, 13: 0.5325077399380805, 14: 0.6022099447513812, 15: 0.41007194244604317, 17: 0.7219101123595506, 18: 0.6162310866574966, 19: 0.5376146788990825, 20: 0.5391735537190082, 21: 0.52, 23: 0.41983471074380163, 24: 0.5903225806451613, 25: nan, 26: 0.0, 27: 0.47368421052631576, 28: 0.5956416464891041, 29: 0.5250737463126843, 30: 0.39651250947687644, 31: 0.8285714285714286, 32: 0.6578947368421053, 33: 0.2, 34: 0.5329268292682927, 35: 0.5, 36: 0.48717948717948717}"
