gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
FOXO1,1,80,1.25,42,52.5
MSH3,1,80,1.25,23,28.749999999999996
BRSK1,1,80,1.25,18,22.5
KRAS,1,80,1.25,21,26.25
VAV2,1,80,1.25,24,30.0
ZBTB7A,1,80,1.25,23,28.749999999999996
IKBKE,1,80,1.25,27,33.75
SDHD,1,80,1.25,27,33.75
LASP1,1,80,1.25,21,26.25
CAD,1,80,1.25,15,18.75
STAT1,1,80,1.25,13,16.25
DUSP16,1,80,1.25,24,30.0
ZNF521,1,80,1.25,17,21.25
SLIT3,1,80,1.25,29,36.25
SLC1A2,1,80,1.25,17,21.25
H3C7,1,80,1.25,0,0.0
ZNF331,1,80,1.25,20,25.0
BCL7A,1,80,1.25,19,23.75
BCL9,1,80,1.25,25,31.25
MAP2K7,1,80,1.25,21,26.25
SEPTIN9,1,80,1.25,0,0.0
BCOR,1,80,1.25,30,37.5
ZFHX3,1,80,1.25,29,36.25
SAMD9L,1,80,1.25,23,28.749999999999996
BRAF,1,80,1.25,25,31.25
PASK,1,80,1.25,17,21.25
TSC2,1,80,1.25,22,27.500000000000004
CCND3,1,80,1.25,17,21.25
CCND1,1,80,1.25,18,22.5
MYB,1,80,1.25,37,46.25
MYC,1,80,1.25,22,27.500000000000004
PHLPP2,1,80,1.25,28,35.0
PTPRS,1,80,1.25,23,28.749999999999996
BRIP1,1,80,1.25,28,35.0
MYD88,1,80,1.25,33,41.25
MYH9,1,80,1.25,65,81.25
CANT1,1,80,1.25,25,31.25
MYO5A,1,80,1.25,25,31.25
PRDM14,1,80,1.25,17,21.25
C15orf65,1,80,1.25,26,32.5
REV3L,1,80,1.25,37,46.25
WT1,1,80,1.25,16,20.0
PRPF8,1,80,1.25,28,35.0
NSD1,1,80,1.25,27,33.75
PTPN14,1,80,1.25,27,33.75
ANK1,1,80,1.25,17,21.25
TUSC3,1,80,1.25,28,35.0
TTL,1,80,1.25,10,12.5
ZBTB20,1,80,1.25,25,31.25
JARID2,1,80,1.25,19,23.75
TLL2,1,80,1.25,28,35.0
TLE4,1,80,1.25,25,31.25
PLXNC1,1,80,1.25,21,26.25
MDC1,1,80,1.25,16,20.0
USP7,1,80,1.25,22,27.500000000000004
NIN,1,80,1.25,37,46.25
NFKBIA,1,80,1.25,38,47.5
AKT3,1,80,1.25,26,32.5
AXIN2,1,80,1.25,26,32.5
STAT2,1,80,1.25,20,25.0
ATP2B3,1,80,1.25,30,37.5
ATM,1,80,1.25,25,31.25
CASZ1,1,80,1.25,30,37.5
ATF1,1,80,1.25,20,25.0
HLA-B,1,80,1.25,16,20.0
AFF1,1,80,1.25,39,48.75
NFKBIE,1,80,1.25,17,21.25
ARID1A,1,80,1.25,27,33.75
ARHGEF12,1,80,1.25,22,27.500000000000004
ARHGEF10,1,80,1.25,27,33.75
COL6A3,1,80,1.25,18,22.5
ARHGAP35,1,80,1.25,19,23.75
ARHGAP26,1,80,1.25,24,30.0
ARAF,1,80,1.25,31,38.75
NCSTN,1,80,1.25,25,31.25
NIPBL,1,80,1.25,28,35.0
MTHFD2,1,80,1.25,13,16.25
CDKN2C,1,80,1.25,19,23.75
PIK3CA,1,80,1.25,25,31.25
RPS6KB2,1,80,1.25,18,22.5
TET1,1,80,1.25,18,22.5
CLTC,1,80,1.25,26,32.5
TNC,1,80,1.25,21,26.25
KDM2B,1,80,1.25,19,23.75
NKTR,1,80,1.25,41,51.24999999999999
KDM4C,1,80,1.25,31,38.75
MSH6,1,80,1.25,13,16.25
NRK,1,80,1.25,29,36.25
RTEL1,1,80,1.25,15,18.75
TFPT,1,80,1.25,19,23.75
TNRC18,1,80,1.25,23,28.749999999999996
MSH2,1,80,1.25,13,16.25
H1-4,1,80,1.25,0,0.0
ITPKB,1,80,1.25,25,31.25
CIC,1,80,1.25,21,26.25
MAP3K6,1,80,1.25,27,33.75
CSF1R,1,80,1.25,25,31.25
TSC1,1,80,1.25,23,28.749999999999996
CTNNB1,1,80,1.25,41,51.24999999999999
DSP,1,80,1.25,18,22.5
H1-3,1,80,1.25,0,0.0
CD274,1,80,1.25,30,37.5
CNTRL,1,80,1.25,22,27.500000000000004
THRAP3,1,80,1.25,19,23.75
CD79A,1,80,1.25,20,25.0
IFNAR1,1,80,1.25,17,21.25
CD79B,1,80,1.25,26,32.5
