gene,mutation_count,sample_count,mutation_percentage,cna_count,cna_percentage
NUP93,0,80,0.0,17,21.25
MSH3,0,80,0.0,6,7.5
PIK3C2G,0,80,0.0,6,7.5
PARP1,0,80,0.0,13,16.25
H3C4,0,80,0.0,0,0.0
IGF2,0,80,0.0,12,15.0
RPTOR,0,80,0.0,14,17.5
IGF1,0,80,0.0,5,6.25
ALOX12B,0,80,0.0,10,12.5
BCL2L1,0,80,0.0,9,11.25
DNMT1,0,80,0.0,8,10.0
IL10,0,80,0.0,12,15.0
IFNGR1,0,80,0.0,30,37.5
ICOSLG,0,80,0.0,17,21.25
EPHA5,0,80,0.0,7,8.75
ERRFI1,0,80,0.0,24,30.0
IRS1,0,80,0.0,10,12.5
INPP4A,0,80,0.0,8,10.0
HOXB13,0,80,0.0,10,12.5
RICTOR,0,80,0.0,4,5.0
H1-2,0,80,0.0,0,0.0
INSR,0,80,0.0,7,8.75
H3-3B,0,80,0.0,0,0.0
HDAC1,0,80,0.0,25,31.25
HDAC7,0,80,0.0,5,6.25
IRF8,0,80,0.0,18,22.5
H3C8,0,80,0.0,0,0.0
RAD51,0,80,0.0,6,7.5
H3C7,0,80,0.0,0,0.0
INHA,0,80,0.0,9,11.25
H2AC11,0,80,0.0,0,0.0
CD22,0,80,0.0,5,6.25
CD276,0,80,0.0,6,7.5
H1-4,0,80,0.0,0,0.0
CD70,0,80,0.0,7,8.75
CDC42,0,80,0.0,25,31.25
H1-3,0,80,0.0,0,0.0
CENPA,0,80,0.0,12,15.0
COP1,0,80,0.0,0,0.0
CSDE1,0,80,0.0,20,25.0
CTLA4,0,80,0.0,9,11.25
DCUN1D1,0,80,0.0,44,55.00000000000001
DNMT3B,0,80,0.0,9,11.25
DUSP22,0,80,0.0,45,56.25
DUSP4,0,80,0.0,39,48.75
MRE11,0,80,0.0,0,0.0
EGFL7,0,80,0.0,10,12.5
EIF4E,0,80,0.0,7,8.75
ELOC,0,80,0.0,0,0.0
EMSY,0,80,0.0,0,0.0
EPCAM,0,80,0.0,11,13.750000000000002
ERF,0,80,0.0,5,6.25
EZH1,0,80,0.0,10,12.5
GREM1,0,80,0.0,6,7.5
GPS2,0,80,0.0,10,12.5
FGF10,0,80,0.0,4,5.0
FGF14,0,80,0.0,12,15.0
FGF23,0,80,0.0,6,7.5
GNA12,0,80,0.0,8,10.0
FGF6,0,80,0.0,6,7.5
FYN,0,80,0.0,29,36.25
E2F3,0,80,0.0,45,56.25
PIK3CG,0,80,0.0,7,8.75
H3C11,0,80,0.0,0,0.0
PLCG2,0,80,0.0,19,23.75
PRKCI,0,80,0.0,44,55.00000000000001
H3C10,0,80,0.0,0,0.0
PRKN,0,80,0.0,0,0.0
RAD51D,0,80,0.0,10,12.5
H3C1,0,80,0.0,0,0.0
RAD52,0,80,0.0,7,8.75
H3-5,0,80,0.0,0,0.0
H3-4,0,80,0.0,0,0.0
H2BC5,0,80,0.0,0,0.0
RAD54L,0,80,0.0,23,28.749999999999996
STAT5A,0,80,0.0,10,12.5
TEK,0,80,0.0,13,16.25
CCNQ,0,80,0.0,0,0.0
H2AC16,0,80,0.0,0,0.0
CARM1,0,80,0.0,7,8.75
H2AC17,0,80,0.0,0,0.0
BCL2L2,0,80,0.0,4,5.0
BCL2L11,0,80,0.0,8,10.0
H2AC6,0,80,0.0,0,0.0
H2BC11,0,80,0.0,0,0.0
H2BC4,0,80,0.0,0,0.0
BABAM1,0,80,0.0,6,7.5
ARID5B,0,80,0.0,1,1.25
AGO2,0,80,0.0,61,76.25
H2BC12,0,80,0.0,0,0.0
ABRAXAS1,0,80,0.0,0,0.0
XRCC2,0,80,0.0,8,10.0
VEGFA,0,80,0.0,39,48.75
H2BC17,0,80,0.0,0,0.0
BBC3,0,80,0.0,5,6.25
PER3,0,80,0.0,24,30.0
DHX9,0,80,0.0,10,12.5
DUSP16,0,80,0.0,6,7.5
LDB1,0,80,0.0,1,1.25
ZNF814,0,80,0.0,5,6.25
EFTUD2,0,80,0.0,11,13.750000000000002
CASZ1,0,80,0.0,24,30.0
FLG,0,80,0.0,7,8.75
TGIF1,0,80,0.0,2,2.5
MDC1,0,80,0.0,43,53.75
HCAR3,0,80,0.0,5,6.25
MED23,0,80,0.0,30,37.5
ZNF93,0,80,0.0,6,7.5
SAMHD1,0,80,0.0,9,11.25
ZNF721,0,80,0.0,11,13.750000000000002
TRIM49C,0,80,0.0,11,13.750000000000002
USP7,0,80,0.0,7,8.75
TFAP4,0,80,0.0,7,8.75
KMT2B,0,80,0.0,5,6.25
COL6A3,0,80,0.0,10,12.5
GNAI2,0,80,0.0,45,56.25
FBN2,0,80,0.0,7,8.75
PCMTD1,0,80,0.0,48,60.0
MYEOV,0,80,0.0,11,13.750000000000002
PTMA,0,80,0.0,10,12.5
ZXDB,0,80,0.0,23,28.749999999999996
RRAGC,0,80,0.0,24,30.0
IRAK1,0,80,0.0,24,30.0
PRKCD,0,80,0.0,44,55.00000000000001
SIN3A,0,80,0.0,6,7.5
RBM39,0,80,0.0,9,11.25
EGR2,0,80,0.0,1,1.25
CD58,0,80,0.0,21,26.25
TCF4,0,80,0.0,3,3.75
DTX1,0,80,0.0,5,6.25
DIS3,0,80,0.0,11,13.750000000000002
BMP6,0,80,0.0,45,56.25
RPS3A,0,80,0.0,8,10.0
IRF1,0,80,0.0,7,8.75
MAP2K7,0,80,0.0,7,8.75
NXF1,0,80,0.0,10,12.5
ZNF750,0,80,0.0,14,17.5
NFKBIA,0,80,0.0,4,5.0
PARP4,0,80,0.0,9,11.25
CADM2,0,80,0.0,43,53.75
RPS6KA3,0,80,0.0,22,27.500000000000004
KLF5,0,80,0.0,11,13.750000000000002
NIPBL,0,80,0.0,4,5.0
H3C2,0,80,0.0,0,0.0
RASA1,0,80,0.0,6,7.5
ZNF208,0,80,0.0,5,6.25
MEF2B,0,80,0.0,6,7.5
MGA,0,80,0.0,6,7.5
H3-3A,0,80,0.0,0,0.0
SOX9,0,80,0.0,14,17.5
ZRSR2,0,80,0.0,22,27.500000000000004
ZNRF3,0,80,0.0,6,7.5
ZNF429,0,80,0.0,6,7.5
ZNF384,0,80,0.0,6,7.5
ZNF331,0,80,0.0,5,6.25
HLA-B,0,80,0.0,43,53.75
EPHA2,0,80,0.0,24,30.0
ING1,0,80,0.0,11,13.750000000000002
KLHL6,0,80,0.0,44,55.00000000000001
ZBTB20,0,80,0.0,44,55.00000000000001
PTPN14,0,80,0.0,12,15.0
FAM174B,0,80,0.0,6,7.5
ZNF626,0,80,0.0,6,7.5
CMTR2,0,80,0.0,17,21.25
SOX17,0,80,0.0,48,60.0
BRD7,0,80,0.0,17,21.25
POU2F2,0,80,0.0,5,6.25
CNOT9,0,80,0.0,0,0.0
FOXA2,0,80,0.0,9,11.25
AJUBA,0,80,0.0,4,5.0
PLXNC1,0,80,0.0,5,6.25
ZFP36L1,0,80,0.0,4,5.0
GNA13,0,80,0.0,13,16.25
TAF1L,0,80,0.0,13,16.25
SP140,0,80,0.0,10,12.5
PRKD2,0,80,0.0,5,6.25
INPPL1,0,80,0.0,11,13.750000000000002
CHRDL1,0,80,0.0,23,28.749999999999996
UBE2A,0,80,0.0,23,28.749999999999996
MIB2,0,80,0.0,24,30.0
REST,0,80,0.0,7,8.75
MCM7,0,80,0.0,7,8.75
WNT1,0,80,0.0,5,6.25
FGD5,0,80,0.0,44,55.00000000000001
CCAR1,0,80,0.0,1,1.25
ESRRA,0,80,0.0,11,13.750000000000002
HLA-DQA1,0,80,0.0,43,53.75
MARK2,0,80,0.0,10,12.5
MDGA2,0,80,0.0,4,5.0
ZBTB48,0,80,0.0,24,30.0
HLA-C,0,80,0.0,43,53.75
PTPN3,0,80,0.0,10,12.5
COL6A6,0,80,0.0,44,55.00000000000001
SMARCA2,0,80,0.0,13,16.25
TRMT12,0,80,0.0,61,76.25
PEG3,0,80,0.0,5,6.25
ATG7,0,80,0.0,44,55.00000000000001
MCL1,0,80,0.0,7,8.75
IRS2,0,80,0.0,11,13.750000000000002
INPP4B,0,80,0.0,9,11.25
IKBKE,0,80,0.0,12,15.0
IGF1R,0,80,0.0,6,7.5
FLT1,0,80,0.0,9,11.25
FGF4,0,80,0.0,11,13.750000000000002
FGF3,0,80,0.0,11,13.750000000000002
FGF19,0,80,0.0,11,13.750000000000002
FNDC3B,0,80,0.0,44,55.00000000000001
CRKL,0,80,0.0,6,7.5
CHEK1,0,80,0.0,15,18.75
CDKN2B,0,80,0.0,13,16.25
CDK8,0,80,0.0,9,11.25
AXL,0,80,0.0,5,6.25
AURKB,0,80,0.0,10,12.5
AURKA,0,80,0.0,9,11.25
ZNF274,0,80,0.0,5,6.25
H4C9,0,80,0.0,0,0.0
CHD7,0,80,0.0,50,62.5
EPHB1,0,80,0.0,44,55.00000000000001
RELA,0,80,0.0,11,13.750000000000002
DSP,0,80,0.0,45,56.25
PRUNE2,0,80,0.0,10,12.5
UBXN11,0,80,0.0,25,31.25
GPAA1,0,80,0.0,61,76.25
ZNF395,0,80,0.0,40,50.0
PSPC1,0,80,0.0,9,11.25
ANKRD11,0,80,0.0,19,23.75
NKTR,0,80,0.0,45,56.25
FMN2,0,80,0.0,13,16.25
TOP2A,0,80,0.0,10,12.5
KMT5A,0,80,0.0,0,0.0
DOT1L,0,80,0.0,8,10.0
FGD1,0,80,0.0,23,28.749999999999996
SUSD2,0,80,0.0,6,7.5
ACSM3,0,80,0.0,7,8.75
SDCBP,0,80,0.0,49,61.25000000000001
ZNF90,0,80,0.0,6,7.5
PPP3CA,0,80,0.0,7,8.75
TGFBR1,0,80,0.0,10,12.5
RRN3,0,80,0.0,8,10.0
LPA,0,80,0.0,30,37.5
NVL,0,80,0.0,12,15.0
CCNT1,0,80,0.0,5,6.25
NPRL2,0,80,0.0,45,56.25
ZNF780A,0,80,0.0,5,6.25
ALPK1,0,80,0.0,8,10.0
ABCC4,0,80,0.0,11,13.750000000000002
RBFOX1,0,80,0.0,7,8.75
HDAC4,0,80,0.0,10,12.5
NT5C3A,0,80,0.0,9,11.25
TRAF3,0,80,0.0,6,7.5
RNF6,0,80,0.0,9,11.25
RBM38,0,80,0.0,9,11.25
U2AF2,0,80,0.0,5,6.25
CSPG4,0,80,0.0,6,7.5
ZCRB1,0,80,0.0,5,6.25
RIPK1,0,80,0.0,45,56.25
PI4KA,0,80,0.0,6,7.5
NRK,0,80,0.0,23,28.749999999999996
NCAPH,0,80,0.0,8,10.0
ADAMTS9,0,80,0.0,44,55.00000000000001
IQGAP1,0,80,0.0,6,7.5
INTS6,0,80,0.0,9,11.25
INPP5D,0,80,0.0,10,12.5
IKZF2,0,80,0.0,9,11.25
IFNAR1,0,80,0.0,17,21.25
ID1,0,80,0.0,9,11.25
HTATIP2,0,80,0.0,12,15.0
HSD17B2,0,80,0.0,19,23.75
HOXA3,0,80,0.0,8,10.0
SLX4,0,80,0.0,7,8.75
HFE,0,80,0.0,43,53.75
HDAC2,0,80,0.0,29,36.25
H4C6,0,80,0.0,0,0.0
H3P6,0,80,0.0,0,0.0
H3C15,0,80,0.0,0,0.0
GRB7,0,80,0.0,10,12.5
GEN1,0,80,0.0,12,15.0
GADD45B,0,80,0.0,7,8.75
FZR1,0,80,0.0,7,8.75
HNF1B,0,80,0.0,10,12.5
MLH3,0,80,0.0,5,6.25
MKNK1,0,80,0.0,23,28.749999999999996
MIDEAS,0,80,0.0,0,0.0
MIB1,0,80,0.0,2,2.5
MEF2D,0,80,0.0,8,10.0
MBD6,0,80,0.0,5,6.25
MBD4,0,80,0.0,44,55.00000000000001
MAP4K4,0,80,0.0,8,10.0
MAP3K6,0,80,0.0,25,31.25
KDM2B,0,80,0.0,5,6.25
MAL2,0,80,0.0,61,76.25
MAGI2,0,80,0.0,8,10.0
LRRK2,0,80,0.0,5,6.25
LRP6,0,80,0.0,6,7.5
LRP5,0,80,0.0,11,13.750000000000002
LGR5,0,80,0.0,5,6.25
