fold,best_epoch,best_val_loss,train_loss,train_cindex,val_loss,val_cindex,test_loss,test_cindex,test_risk_mean,test_risk_std,test_risk_OS_corr
1,22,0.22500174244244894,0.40157795871110785,0.7653835602353576,0.22500174244244894,0.7394972474630231,0.523656447728475,0.7389418416403817,47.06278,6.7736692,-0.11532697
2,33,0.14251468976338705,0.3470886242120786,0.7752635655503577,0.1916986385981242,0.7691763345692302,0.5122616352403865,0.737578460521969,47.920288,7.868431,-0.08454408
3,47,0.4965512673060099,0.3945540551389201,0.7738518667581818,0.5188500285148621,0.7626180211183989,0.49743034081025556,0.7397633831179729,47.500168,8.530628,-0.13374732
4,38,0.5097708185513814,0.4082293579901071,0.7732805278587727,0.5097708185513814,0.7503969884060993,0.4281581495747422,0.7588768755640004,45.622482,12.945357,-0.12257551
5,33,0.5167756835619609,0.3933088667410657,0.7735007194772339,0.5167756835619609,0.7245771521518461,0.610351360205448,0.7485845625059306,45.650257,12.324442,-0.05815571
6,34,0.3365097093085448,0.48048192318668936,0.7680505051803262,0.7401632279157638,0.7757185011520271,0.9950416322910425,0.7479919629631441,39.893627,21.05629,-0.09476513
7,50,-0.075994873046875,0.3273700756973095,0.7812034294139386,-0.075994873046875,0.7635660685154976,0.6431614603057052,0.7605107866901164,46.82928,9.846885,-0.1769471
8,28,0.5927363793055217,0.425364488833829,0.7599263459646891,0.5927363793055217,0.7311581776610235,0.5238516421029062,0.7263576713667458,48.19302,1.4960084,-0.18619877
9,21,0.5838650474945705,0.3931623816042018,0.7622517503385865,0.5838650474945705,0.7369193217522266,0.45134424330557094,0.7392543374680847,47.91452,1.2959348,-0.20184818
10,38,0.42727662722269694,0.33319566751781265,0.7726556068594627,0.42727662722269694,0.74597304349585,0.6934631250121377,0.75611989042896,45.803967,10.458092,-0.16134262
