epoch,cancer_type,c_index
1,global,0.6621860811122797
1,normalized_avg,0.540217329180926
1,0,0.4426229508196721
1,1,0.5918508287292817
1,2,0.6996047430830039
1,3,0.6108597285067874
1,4,0.8571428571428571
1,6,0.5202095808383234
1,7,0.3684210526315789
1,8,0.5232198142414861
1,10,0.4311310190369541
1,11,0.5513100436681223
1,12,0.631578947368421
1,13,0.5370558375634518
1,14,0.8197424892703863
1,15,0.6090534979423868
1,17,0.5687361419068736
1,18,0.4211076280041797
1,19,0.5140845070422535
1,20,0.4779270633397313
1,21,0.6111111111111112
1,23,0.5938628158844765
1,24,0.5309973045822103
1,25,0.7142857142857143
1,26,0.41284403669724773
1,27,0.6470588235294118
1,28,0.5045454545454545
1,29,0.5130609511051574
1,30,0.4918032786885246
1,31,
1,32,0.5257731958762887
1,33,0.19047619047619047
1,34,0.5615234375
1,35,0.46511627906976744
1,36,0.3488372093023256
2,global,0.7032794083695608
2,normalized_avg,0.5625332765934926
2,0,0.4426229508196721
2,1,0.5849447513812155
2,2,0.730660643704122
2,3,0.5339366515837104
2,4,1.0
2,6,0.500748502994012
2,7,0.42105263157894735
2,8,0.4953560371517028
2,10,0.43896976483762595
2,11,0.5693231441048034
2,12,0.631578947368421
2,13,0.5675126903553299
2,14,0.8111587982832618
2,15,0.6008230452674898
2,17,0.6175166297117517
2,18,0.4723092998955068
2,19,0.5309859154929577
2,20,0.510556621880998
2,21,0.5777777777777777
2,23,0.6070998796630566
2,24,0.5579514824797843
2,25,0.9285714285714286
2,26,0.47706422018348627
2,27,0.7058823529411765
2,28,0.5340909090909091
2,29,0.5291359678499665
2,30,0.5188524590163934
2,31,
2,32,0.4329896907216495
2,33,0.09523809523809523
2,34,0.599609375
2,35,0.4883720930232558
2,36,0.4883720930232558
3,global,0.7184353360665509
3,normalized_avg,0.5677391140374114
3,0,0.47540983606557374
3,1,0.5904696132596685
3,2,0.7284020327498588
3,3,0.5475113122171946
3,4,0.8571428571428571
3,6,0.530688622754491
3,7,0.42105263157894735
3,8,0.4984520123839009
3,10,0.44456886898096304
3,11,0.5960698689956332
3,12,0.6842105263157895
3,13,0.5401015228426396
3,14,0.8111587982832618
3,15,0.5102880658436214
3,17,0.6940133037694013
3,18,0.5454545454545454
3,19,0.5539906103286385
3,20,0.513915547024952
3,21,0.5888888888888889
3,23,0.6486161251504212
3,24,0.5741239892183289
3,25,0.8571428571428571
3,26,0.45871559633027525
3,27,0.6470588235294118
3,28,0.5181818181818182
3,29,0.5331547220361688
3,30,0.5459016393442623
3,31,
3,32,0.44329896907216493
3,33,0.14285714285714285
3,34,0.6435546875
3,35,0.4186046511627907
3,36,0.6046511627906976
4,global,0.7331476314713352
4,normalized_avg,0.5883323801732684
4,0,0.5737704918032787
4,1,0.6187845303867403
4,2,0.7391304347826086
4,3,0.5294117647058824
4,4,0.8571428571428571
4,6,0.5741017964071856
4,7,0.3684210526315789
4,8,0.5294117647058824
4,10,0.43822321761851435
4,11,0.6135371179039302
4,12,0.7894736842105263
4,13,0.5279187817258884
4,14,0.8412017167381974
4,15,0.588477366255144
4,17,0.7184035476718403
4,18,0.5600835945663531
4,19,0.5854460093896714
4,20,0.5254318618042226
4,21,0.6555555555555556
4,23,0.6456077015643803
4,24,0.5633423180592992
4,25,0.8214285714285714
4,26,0.42201834862385323
4,27,0.6470588235294118
4,28,0.509090909090909
4,29,0.5150703281982585
4,30,0.5442622950819672
4,31,
4,32,0.5051546391752577
4,33,0.3333333333333333
4,34,0.6630859375
4,35,0.4418604651162791
4,36,0.5813953488372093
5,global,0.7411330127310396
5,normalized_avg,0.5887068608591447
5,0,0.6065573770491803
5,1,0.6519337016574586
5,2,0.7171089779785432
5,3,0.5339366515837104
5,4,0.7142857142857143
5,6,0.5785928143712575
5,7,0.3684210526315789
5,8,0.544891640866873
5,10,0.46397909667786486
5,11,0.631004366812227
5,12,0.8421052631578947
5,13,0.5269035532994923
5,14,0.8497854077253219
5,15,0.5679012345679012
5,17,0.7527716186252772
5,18,0.5799373040752351
5,19,0.6004694835680752
5,20,0.5479846449136276
5,21,0.6777777777777778
5,23,0.6829121540312876
5,24,0.5983827493261455
5,25,0.75
5,26,0.3394495412844037
5,27,0.6352941176470588
5,28,0.575
5,29,0.535833891493637
5,30,0.5254098360655738
5,31,
5,32,0.41237113402061853
5,33,0.38095238095238093
5,34,0.669921875
5,35,0.4186046511627907
5,36,0.5581395348837209
6,global,0.7443893341139652
6,normalized_avg,0.5903133412068493
6,0,0.6885245901639344
6,1,0.6450276243093923
6,2,0.6973461321287409
6,3,0.5927601809954751
6,4,0.7142857142857143
6,6,0.5718562874251497
6,7,0.42105263157894735
6,8,0.5386996904024768
6,10,0.47144456886898095
6,11,0.6501091703056768
6,12,0.7368421052631579
6,13,0.5197969543147208
6,14,0.8497854077253219
6,15,0.5679012345679012
6,17,0.7926829268292683
6,18,0.6050156739811913
6,19,0.5915492957746479
6,20,0.5575815738963532
6,21,0.6666666666666666
6,23,0.6793020457280385
6,24,0.5822102425876011
6,25,0.6785714285714286
6,26,0.3944954128440367
6,27,0.6705882352941176
6,28,0.6022727272727273
6,29,0.5572672471533825
6,30,0.5311475409836065
6,31,
6,32,0.38144329896907214
6,33,0.38095238095238093
6,34,0.6923828125
6,35,0.37209302325581395
6,36,0.4883720930232558
7,global,0.74393966600826
7,normalized_avg,0.5970539143182392
7,0,0.7049180327868853
7,1,0.6422651933701657
7,2,0.7012987012987013
7,3,0.5882352941176471
7,4,0.7857142857142857
7,6,0.5898203592814372
7,7,0.3684210526315789
7,8,0.544891640866873
7,10,0.48861515490854796
7,11,0.6413755458515283
7,12,0.6842105263157895
7,13,0.5177664974619289
7,14,0.8540772532188842
7,15,0.5679012345679012
7,17,0.7882483370288248
7,18,0.6374085684430512
7,19,0.5830985915492958
7,20,0.5700575815738963
7,21,0.6333333333333333
7,23,0.6630565583634176
7,24,0.5876010781671159
7,25,0.6785714285714286
7,26,0.4036697247706422
7,27,0.6705882352941176
7,28,0.5795454545454546
7,29,0.565304755525787
7,30,0.5508196721311476
7,31,
7,32,0.38144329896907214
