epoch,train_loss,val_loss,val_cindex
1,0.7850315777326791,-0.33102589249610903,0.7367724279809261
2,0.7610650173622124,-0.3040256485342979,0.7401567053773819
3,0.7496035186092506,-0.2802339198688666,0.7458966430254043
4,0.747806225547546,-0.3123781954248746,0.7451347043995606
5,0.7486665058002043,-0.2697043257455031,0.744182281117256
6,0.7449480210071646,-0.30036410068472225,0.7432044598807566
7,0.7431584163272426,-0.31355057333906494,0.7463093597810696
8,0.7413937302676032,-0.30228076726198194,0.7507857492079013
9,0.7425539129124152,-0.3071859775731961,0.7486777190097338
10,0.08650953206844098,-0.7183365454276402,0.7455601201323233
11,-0.03680441347177556,-0.9665646264950435,0.7447600845751875
12,-0.20589352480034703,-1.1478227347135543,0.7398328814613983
13,-0.17862867360257925,-1.4316529313723245,0.7478014895900136
14,-0.3652982669376702,-1.5894553621610006,0.7429790530372778
15,-0.3257394410697708,-1.7493815044562022,0.7473633748801534
16,-0.5982232948813992,-2.0865262428919475,0.7486364473341672
17,-0.5807553567689903,-2.1150129159291584,0.7478395865213057
18,-0.6599963003776493,-2.3364081501960756,0.7420361539877963
19,-0.7183162569999695,-2.4453061620394387,0.7480745175976075
20,-2.322217630201511,-2.3174868782361346,0.7147587511825922
21,-2.435728587238083,-2.439748167991638,0.7364549535534912
22,-2.486616670080785,-2.4001598079999287,0.6657787965179405
23,-2.2209240102142878,-2.2669425984223683,0.7211971325709714
24,-2.385922051212761,-2.442067476113637,0.6608166712171335
25,-2.4107842294687636,-2.4896147906780244,0.7083521172369566
26,-2.47652081335975,-2.403594946861267,0.7138063279002876
27,-2.457609277204628,-2.496256975332896,0.6806556481875385
28,-2.3686029696732422,-2.2522094746430716,0.6379204155105306
29,-2.380029459571124,-2.468844401836395,0.7026058301003855
30,-2.4522500245758656,-2.4661649664243064,0.6875575422399726
31,-2.3202184773563,-2.407499198118846,0.6261071920656791
32,-2.607125904676173,-2.2208728710810344,0.6860336649882852
33,-2.288590000642373,-2.3998054722944895,0.6763284717416013
34,-2.4528586872284777,-2.4477229615052543,0.6902687738502664
35,-2.5178002321095057,-2.4336921095848085,0.6601341011981485
36,-2.2675283791197374,-2.382269807656606,0.5919215457194923
37,-2.4689140951588806,-2.4865104695161184,0.5963280907722883
38,-2.371600341930818,-2.4868189950784045,0.6980786447651641
39,-2.4233111269241863,-2.482230746746063,0.6704075736699409
40,-2.4299987684028426,-2.4002324253320695,0.6232943686386062
41,-2.3929816387342604,-2.4052050908406577,0.6502828697148445
42,-2.47213072483236,-2.401539095242818,0.6803572222257497
43,-2.5919527350070326,-2.493326199054718,0.6439365559104214
44,-2.4643386892611616,-2.511470357577006,0.6822557193018103
45,-2.582499641157715,-2.3915846705436707,0.6662708818804646
46,-2.414001161462805,-2.471762283643087,0.6846431269961205
47,-2.485676873042789,-2.38083438873291,0.6646676360219185
48,-2.470920547117455,-2.3665538827578225,0.6356695218200173
49,-2.526591269934222,-2.4686971137921017,0.6771951769284984
50,-2.2879949696501543,-1.4210788001616796,0.6944372130824862
51,-2.2117277406686253,-2.478530995051066,0.7018057945432495
52,-2.6741107956746992,-2.51535350382328,0.6347805934231998
53,-2.416923591818256,-2.5424500395854315,0.6972024153454439
54,-2.588181712430961,-2.4558879007895786,0.6702424869676747
55,-2.2676563458273025,-1.95469611287117,0.656733950080321
56,-2.351385347963719,-2.5451743374268214,0.6795889341113573
57,-2.4853142716464927,-2.2411613653103513,0.6562926606261865
58,-2.2903763916385307,-2.5639020919799806,0.6975262392614275
59,-2.447421617108338,-2.3945882817109427,0.6331424253776359
60,-2.5151383168018713,-2.498376919825872,0.6610420780606122
61,-2.50581179944317,-2.3688254594802856,0.6738426469747861
62,-2.4521762581353777,-2.378758779168129,0.6871987961369712
63,-2.443879137994645,-2.491259949405988,0.6764395877912034
64,-2.518883908286077,-2.4210426926612856,0.6390093527966322
65,-2.6689733744560558,-2.5571105321248373,0.6612389122056218
66,-2.4952885110056804,-2.42065858344237,0.649714590489736
67,-2.5738049453117426,-2.23888521194458,0.6573022293054295
68,-2.569045510296518,-2.5108605066935223,0.6872845142323786
69,-2.565153752819876,-1.9211153864860535,0.6835414907329215
70,-2.535102877835656,-2.4713055898745853,0.6616643279383846
71,-2.5246853719043374,-2.450909560918808,0.6755379604172884
72,-2.434766001245949,-2.4961942036946616,0.6838430914389846
73,-2.449110743816426,-2.464091828465462,0.6690614820976171
74,-2.5663074901264706,-2.469725908835729,0.669480548341831
75,-2.7539113501037997,-2.535340389609337,0.6708393388912524
76,-2.56594464004263,-2.529234712322553,0.6661534163423136
77,-2.4741209542260187,-2.4723194668690365,0.6442095839180154
