fold,best_epoch,best_val_loss,train_loss,train_cindex,val_loss,val_cindex,test_loss,test_cindex,test_risk_mean,test_risk_std,test_risk_OS_corr
1,26,0.6963342914978663,0.7124747679869932,0.7784856808014478,0.7049208492040634,0.7418883066923128,0.8496349257501689,0.7382529364583384,1.1177297,1.8607175,-0.16582826
2,14,0.6829144428173701,0.7372137200563473,0.7535753908651898,0.6829144428173701,0.7524917274648169,0.8322205000063952,0.7127920147246213,0.82301164,1.1988848,-0.16046536
3,15,0.7272894031484611,0.7288531282644594,0.7643149284648516,0.7272894031484611,0.7494396576355774,0.7622020917408394,0.7456001426413827,0.24596113,1.3608394,-0.18442053
4,19,0.7658929904301961,0.7299105230914918,0.766385448054562,0.7704963723818461,0.7469114608560234,0.7224984700706872,0.7254235958142063,-0.43551078,1.3378302,-0.17515725
5,26,0.798025960723559,0.7097363240064535,0.7832765296422527,0.8031970530748367,0.7276071031100566,0.7555113695561886,0.7419370143494259,1.1440418,1.4900199,-0.13195544
6,19,0.675142514705658,0.7270179743829527,0.7674761779630848,0.675142514705658,0.7663675438241913,0.8354661205049717,0.7549510395838731,1.7691936,1.682513,-0.14299826
7,27,0.703718289732933,0.7190541614977162,0.7800252697732105,0.7211704475184282,0.7534486133768352,0.7865082284040523,0.7670719969360862,0.9434116,1.7962788,-0.21541102
8,26,0.7622463941574097,0.7162041694934207,0.7834285052020022,0.7766002039114634,0.7467770967114225,0.7310532013123686,0.7442105263157894,0.7271749,1.6566069,-0.19003648
9,19,0.7064456164836883,0.7247339348707881,0.7688246906548568,0.7064456164836883,0.7565630599049622,0.7544233053922653,0.7422976015761645,0.7112216,1.4287663,-0.18095082
10,22,0.7045290231704712,0.7186199991326583,0.7752126211953997,0.7248691404859225,0.739456419868791,0.8471054421229796,0.7388556879834194,1.1779484,1.6640191,-0.1957319
