fold,best_epoch,best_val_loss,train_loss,train_cindex,val_loss,val_cindex,test_loss,test_cindex,test_risk_mean,test_risk_std,test_risk_OS_corr
0,38,0.8442412793636322,0.777225641434303,0.6992852818752064,0.8470654447873434,0.6544584066954487,0.8435517472751213,0.6362008571771621,1.9099603,0.8561781,-0.08970608
1,52,0.8721548120180765,0.7578722512170514,0.7223117664065406,0.8764253815015157,0.6625750515798502,0.8458286094846148,0.6379845358185263,2.2918923,0.9079731,-0.12226982
2,26,0.8547191361586253,0.7887784010230222,0.6864280740125196,0.8547191361586253,0.6266472845125468,0.8280789206425349,0.647267308597772,1.4336038,0.8695554,-0.097032145
3,15,0.8873260676860809,0.8054472158175771,0.6503358377037476,0.8873260676860809,0.6385801742406404,0.8173779285315311,0.6477850001305244,1.443607,0.55857563,-0.080385216
4,43,0.8720507661501566,0.7786485849220134,0.7078736226163581,0.8915010710557302,0.6152270767461915,0.8295513630816431,0.6119230347549611,1.0731367,1.0350968,-0.086873926
5,58,0.8373285969098408,0.7157769602494732,0.7629691372067362,0.8590786298116048,0.641857146372069,0.9863250095284346,0.6085522197751246,0.3710565,1.1029732,-0.13637203
6,36,0.856532629330953,0.7736040292261334,0.7090595882345001,0.8917136669158936,0.6131128386112171,0.8430515378713608,0.6268369765604425,1.9676814,1.1567111,-0.10409458
7,19,0.7732792735099793,0.8026243177809325,0.6665681848670808,0.7732792735099793,0.6332621476970128,0.8313005110531142,0.6144628464688405,0.7938147,0.579578,-0.05754761
8,28,0.8051884651184082,0.794201386144577,0.6761875839509208,0.8051884651184082,0.6533769855705105,0.8453687298478503,0.6242177248410214,1.5457748,0.7043437,-0.15455377
9,17,0.7321048180262247,0.8008785633854171,0.6518097620233088,0.7321048180262247,0.6547465311169116,0.9148978505170706,0.6222202265884589,1.0633385,0.6141273,-0.11611768
