phase,epoch,train_loss,val_loss,val_cindex_global,normalized_avg_cindex,val_cindex_by_type
0,1,0.42633432149887085,0.42675697803497314,1.0,1.0,{12: 1.0}
0,2,0.42459678649902344,0.42392128705978394,1.0,1.0,{12: 1.0}
0,3,0.42311128973960876,0.42129063606262207,1.0,1.0,{12: 1.0}
0,4,0.4217682182788849,0.4187659025192261,1.0,1.0,{12: 1.0}
0,5,0.41999033093452454,0.41624051332473755,1.0,1.0,{12: 1.0}
0,6,0.41910862922668457,0.41385164856910706,1.0,1.0,{12: 1.0}
0,7,0.4179227948188782,0.4116448760032654,1.0,1.0,{12: 1.0}
0,8,0.4161728620529175,0.40945956110954285,1.0,1.0,{12: 1.0}
0,9,0.41475433111190796,0.40735241770744324,1.0,1.0,{12: 1.0}
0,10,0.4132346510887146,0.40527504682540894,1.0,1.0,{12: 1.0}
0,11,0.41249117255210876,0.40329092741012573,1.0,1.0,{12: 1.0}
0,12,0.4108879864215851,0.4014340043067932,1.0,1.0,{12: 1.0}
0,13,0.4096100926399231,0.399707168340683,1.0,1.0,{12: 1.0}
0,14,0.4084516167640686,0.39815181493759155,1.0,1.0,{12: 1.0}
0,15,0.4071888029575348,0.39673912525177,1.0,1.0,{12: 1.0}
0,16,0.4057133197784424,0.3953843414783478,1.0,1.0,{12: 1.0}
0,17,0.4043560028076172,0.3941327631473541,1.0,1.0,{12: 1.0}
0,18,0.4031427502632141,0.3929905593395233,1.0,1.0,{12: 1.0}
0,19,0.4016142189502716,0.3918939232826233,1.0,1.0,{12: 1.0}
0,20,0.4003659784793854,0.3907231390476227,1.0,1.0,{12: 1.0}
0,21,0.39980030059814453,0.38967275619506836,1.0,1.0,{12: 1.0}
0,22,0.39857468008995056,0.38870862126350403,1.0,1.0,{12: 1.0}
0,23,0.3969525396823883,0.38765135407447815,1.0,1.0,{12: 1.0}
0,24,0.3956673741340637,0.38649529218673706,1.0,1.0,{12: 1.0}
0,25,0.39463862776756287,0.38523781299591064,1.0,1.0,{12: 1.0}
0,26,0.39344069361686707,0.3839230537414551,1.0,1.0,{12: 1.0}
0,27,0.3919077217578888,0.38257020711898804,1.0,1.0,{12: 1.0}
0,28,0.3910682499408722,0.38117995858192444,1.0,1.0,{12: 1.0}
0,29,0.3895759880542755,0.37980878353118896,1.0,1.0,{12: 1.0}
0,30,0.38808926939964294,0.37871623039245605,1.0,1.0,{12: 1.0}
0,31,0.3876730799674988,0.37782230973243713,1.0,1.0,{12: 1.0}
0,32,0.3863772749900818,0.3770025670528412,1.0,1.0,{12: 1.0}
0,33,0.38472363352775574,0.37634724378585815,1.0,1.0,{12: 1.0}
0,34,0.3843870759010315,0.37555137276649475,1.0,1.0,{12: 1.0}
0,35,0.3826249837875366,0.3747195899486542,1.0,1.0,{12: 1.0}
0,36,0.38196322321891785,0.3740643262863159,1.0,1.0,{12: 1.0}
0,37,0.3804592490196228,0.3732895255088806,1.0,1.0,{12: 1.0}
0,38,0.3791322112083435,0.37239202857017517,1.0,1.0,{12: 1.0}
0,39,0.37857523560523987,0.3713422119617462,1.0,1.0,{12: 1.0}
0,40,0.3776731789112091,0.36999574303627014,1.0,1.0,{12: 1.0}
0,41,0.37528330087661743,0.36870095133781433,1.0,1.0,{12: 1.0}
0,42,0.3747137188911438,0.3671915829181671,1.0,1.0,{12: 1.0}
0,43,0.3734027147293091,0.3657175302505493,1.0,1.0,{12: 1.0}
0,44,0.3722991943359375,0.36421000957489014,1.0,1.0,{12: 1.0}
0,45,0.37150731682777405,0.3626895844936371,1.0,1.0,{12: 1.0}
0,46,0.3706296980381012,0.3611396849155426,1.0,1.0,{12: 1.0}
0,47,0.3690590560436249,0.3600367605686188,1.0,1.0,{12: 1.0}
0,48,0.3678811192512512,0.3589400053024292,1.0,1.0,{12: 1.0}
0,49,0.3672250807285309,0.3578328490257263,1.0,1.0,{12: 1.0}
0,50,0.3661167323589325,0.3568756580352783,1.0,1.0,{12: 1.0}
0,51,0.36537542939186096,0.35593149065971375,1.0,1.0,{12: 1.0}
0,52,0.36351585388183594,0.3546341359615326,1.0,1.0,{12: 1.0}
0,53,0.36342132091522217,0.35369834303855896,1.0,1.0,{12: 1.0}
0,54,0.3619935214519501,0.3529595136642456,1.0,1.0,{12: 1.0}
0,55,0.361114501953125,0.35249024629592896,1.0,1.0,{12: 1.0}
0,56,0.3599480390548706,0.3520066440105438,1.0,1.0,{12: 1.0}
0,57,0.3581029176712036,0.3516324460506439,1.0,1.0,{12: 1.0}
0,58,0.35741785168647766,0.35077041387557983,1.0,1.0,{12: 1.0}
0,59,0.35654330253601074,0.3496096432209015,1.0,1.0,{12: 1.0}
0,60,0.3559854030609131,0.3482373356819153,1.0,1.0,{12: 1.0}
0,61,0.3543720841407776,0.34653109312057495,1.0,1.0,{12: 1.0}
0,62,0.35403677821159363,0.3445149064064026,1.0,1.0,{12: 1.0}
0,63,0.352696031332016,0.342096745967865,1.0,1.0,{12: 1.0}
0,64,0.35129719972610474,0.3399364948272705,1.0,1.0,{12: 1.0}
0,65,0.3503400385379791,0.33840909600257874,1.0,1.0,{12: 1.0}
0,66,0.3499431312084198,0.3367791175842285,1.0,1.0,{12: 1.0}
0,67,0.34894052147865295,0.3354206085205078,1.0,1.0,{12: 1.0}
0,68,0.347766637802124,0.3352844715118408,1.0,1.0,{12: 1.0}
0,69,0.34706658124923706,0.33552247285842896,1.0,1.0,{12: 1.0}
0,70,0.34569528698921204,0.3361358344554901,1.0,1.0,{12: 1.0}
0,71,0.3449370861053467,0.33652764558792114,1.0,1.0,{12: 1.0}
0,72,0.34369906783103943,0.33642834424972534,1.0,1.0,{12: 1.0}
0,73,0.3434755206108093,0.33574041724205017,1.0,1.0,{12: 1.0}
0,74,0.34204649925231934,0.33439362049102783,1.0,1.0,{12: 1.0}
0,75,0.3407955467700958,0.3326708674430847,1.0,1.0,{12: 1.0}
0,76,0.34003233909606934,0.3307492733001709,1.0,1.0,{12: 1.0}
0,77,0.33987605571746826,0.3290593922138214,1.0,1.0,{12: 1.0}
0,78,0.33807626366615295,0.32743963599205017,1.0,1.0,{12: 1.0}
0,79,0.33768516778945923,0.32680103182792664,1.0,1.0,{12: 1.0}
0,80,0.3363734781742096,0.3259757161140442,1.0,1.0,{12: 1.0}
0,81,0.3349563777446747,0.3257428705692291,1.0,1.0,{12: 1.0}
0,82,0.3344760835170746,0.325601726770401,1.0,1.0,{12: 1.0}
0,83,0.33266809582710266,0.32503771781921387,1.0,1.0,{12: 1.0}
0,84,0.3321201503276825,0.32405176758766174,1.0,1.0,{12: 1.0}
0,85,0.33119329810142517,0.323097825050354,1.0,1.0,{12: 1.0}
0,86,0.3310408592224121,0.3219766616821289,1.0,1.0,{12: 1.0}
0,87,0.3295048773288727,0.32076624035835266,1.0,1.0,{12: 1.0}
0,88,0.32924553751945496,0.31910040974617004,1.0,1.0,{12: 1.0}
0,89,0.32793334126472473,0.3171945810317993,1.0,1.0,{12: 1.0}
0,90,0.327799528837204,0.31611332297325134,1.0,1.0,{12: 1.0}
0,91,0.32665300369262695,0.3157409727573395,1.0,1.0,{12: 1.0}
0,92,0.324962854385376,0.3149167597293854,1.0,1.0,{12: 1.0}
0,93,0.3242124915122986,0.3141423761844635,1.0,1.0,{12: 1.0}
0,94,0.3233940601348877,0.31327271461486816,1.0,1.0,{12: 1.0}
0,95,0.3227939009666443,0.3118523955345154,1.0,1.0,{12: 1.0}
0,96,0.32234013080596924,0.3100791275501251,1.0,1.0,{12: 1.0}
0,97,0.3220127820968628,0.3092041611671448,1.0,1.0,{12: 1.0}
0,98,0.32094821333885193,0.3101019263267517,1.0,1.0,{12: 1.0}
0,99,0.31889599561691284,0.31017547845840454,1.0,1.0,{12: 1.0}
0,100,0.31841209530830383,0.31094273924827576,1.0,1.0,{12: 1.0}
