fold,cancer_type,best_epoch,best_val_loss,train_loss,train_cindex,val_loss,val_cindex_global,normalized_val_cindex,test_loss,test_cindex,test_risk_mean,test_risk_std,test_risk_OS_corr
10,KIRP,100,0.21554046869277954,0.2162894383072853,0.7505555555555555,0.21554046869277954,0.6722689075630253,0.6722689075630253,0.2035757303237915,0.6041666666666666,3.4840486,0.7959763,0.306727
10,UCEC,100,0.140399269759655,0.1344101776679357,0.5922405990290464,0.140399269759655,0.7386666666666667,0.7386666666666667,0.1377009153366089,0.6838709677419355,10.279837,0.44858298,-0.39789292
10,SKCM,100,0.18242081254720688,0.20379117876291275,0.539057570977918,0.18242081254720688,0.4656019656019656,0.4656019656019656,0.1975795328617096,0.5742971887550201,12.387131,0.0034850885,-0.09222944
10,PRAD,100,0.12436198443174362,0.12320683027307193,0.7861936720997124,0.12436198443174362,0.6276595744680851,0.6276595744680851,0.12345366925001144,,8.534626,0.88542163,0.04609132
10,CESC,100,0.20304782688617706,0.2127179279923439,0.543591654247392,0.20304782688617706,0.49466192170818507,0.49466192170818507,0.20842649042606354,0.16304347826086957,8.607728,0.073820174,0.30830607
10,STAD,95,0.16731803864240646,0.17407172918319702,0.6833721659646922,0.16731803864240646,0.502092050209205,0.502092050209205,0.18095315992832184,0.4271604938271605,0.9530543,0.5948488,0.12828615
10,LIHC,100,0.1756371706724167,0.1697402998805046,0.5953673064195897,0.1756371706724167,0.5502824858757062,0.5502824858757062,0.19053968787193298,0.676923076923077,9.082164,0.1766168,-0.2549074
10,HNSC,100,0.13773993402719498,0.15415015568335852,0.623219431864965,0.13773993402719498,0.5752066115702479,0.5752066115702479,0.1541621834039688,0.4883720930232558,9.471956,0.7024289,0.12054581
10,COAD,100,0.19564390182495117,0.20518530905246735,0.5963717335778375,0.19564390182495117,0.5333333333333333,0.5333333333333333,0.2054755538702011,0.5358090185676393,9.678681,0.02958983,-0.08887865
10,BRCA,100,0.1102796917160352,0.10883169310788314,0.6400014538053355,0.1102796917160352,0.5710754017305315,0.5710754017305315,0.11344139277935028,0.6394779771615008,12.049314,0.032986216,0.09716691
10,READ,100,0.2446170300245285,0.24239204823970795,0.6341698841698842,0.2446170300245285,0.6533333333333333,0.6533333333333333,0.2385164350271225,0.9,0.6670025,0.9758037,-0.16178933
10,LGG,100,0.12578760460019112,0.14127922554810843,0.736873508353222,0.12578760460019112,0.7539503386004515,0.7539503386004515,0.14070303738117218,0.7660044150110376,10.159201,0.649551,-0.42343116
10,ACC,100,0.40906083583831787,0.3385380804538727,0.7294633077765608,0.40906083583831787,0.7684210526315789,0.7684210526315789,0.36694106459617615,0.6666666666666666,10.647576,0.056681328,0.1912176
10,THCA,100,0.12417061626911163,0.12595729033152261,0.8106207565470417,0.12417061626911163,,,0.12574376165866852,0.22727272727272727,0.17115988,1.3431742,0.05921676
10,BLCA,96,0.093551866710186,0.17080351412296296,0.5793997149982187,0.093551866710186,0.646285338593031,0.646285338593031,0.18791057169437408,0.5265151515151515,6.577188,0.6335471,-0.38395575
