epoch,train_loss,val_loss,c_index
1,1.000448570782397,0.9286116838455201,0.5973637982337687
2,1.009621559697039,0.9182290991147359,0.602233481913457
3,0.9730863203177181,0.9148224254449209,0.6033952066265256
4,0.9611007325789508,0.9242339054743449,0.6015762239934991
5,0.9269530818868084,0.9398781677087148,0.5991401017810836
6,0.9046882373132125,0.9549164851506551,0.5972229572509206
7,0.904853071485247,0.9727892478307089,0.5955123794956015
8,0.8958539131934903,1.001445366938909,0.5900631138319502
9,0.8813288193039533,1.0358302652835847,0.5869202259601514
10,0.8603021292125478,1.0330208837985992,0.588740062174892
11,0.8618010824092296,1.082350452740987,0.5835297993912255
12,0.8665984626076803,1.0892378449440003,0.5832959180015262
13,0.8402541627903947,1.1173884371916454,0.5822511339833073
14,0.8457249888852865,1.114518650372823,0.5779490821435826
15,0.8507290928303695,1.124703327814738,0.5809912473731023
16,0.8483630068161908,1.1435817996660869,0.5805405562279883
17,0.843072949462578,1.172370006640752,0.5806412788702675
18,0.8364984861442021,1.1716914196809134,0.5777715371470227
19,0.8450645195210681,1.1797843813896178,0.5774727835470418
20,0.8344771329219601,1.2146228929360707,0.5786268260246822
21,0.8141254591559913,1.204753762483597,0.5754788166625979
22,0.8365761751637739,1.214950309197108,0.5769998992773577
23,0.8106751844537359,1.2371761242548625,0.5768257686076546
